

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-10-03T22:41:38PDT



Main Information Table for All Sky, chosen by params


Redshift: Between 0.272000 and 0.273000 


Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
43|WISEA J001712.16+231015.2|  4.30070 |  23.17088 |G| 81767| 0.272745 |SLS |     |  0.000|0|0|12|2|1|0|0
44|WISEA J001720.62+350606.3|  4.33600 |  35.10175 |G| 81738| 0.272647 |SLS |     |  0.000|0|0|18|3|1|0|0
45|WISEA J001732.01-044305.5|  4.38334 |  -4.71842 |G| 81560| 0.272054 |SLS |20.19|  0.000|0|0|19|4|1|0|0
46|WISEA J001756.39+212738.8|  4.48491 |  21.46064 |QSO| 81599| 0.272184 |SLS |     |  0.000|0|0|17|3|1|0|0
47|WISEA J001900.05-263724.8|  4.75025 | -26.62347 |G| 81721| 0.272591 |SLS |18.83|  0.000|1|0|19|4|1|0|0
48|Cl 0017-20|  4.88233 | -20.50578 |GClstr| 81544| 0.272000 |SUN |     |  0.000|4|0|0|2|1|0|0
49|Cl 0017-20:[G90] 131|  4.88233 | -20.50578 |G| 81670| 0.272422 |SUN |20.89|  0.000|2|0|0|1|1|0|0
50|Cl 0017-20:[G90] 152|  4.88233 | -20.50578 |G| 81620| 0.272255 |SUN |21.47|  0.000|2|0|0|1|1|0|0
51|Cl 0017-20:[G90] 157|  4.88233 | -20.50578 |G| 81580| 0.272122 |SUN |21.30|  0.000|2|0|0|1|1|0|0
52|Cl 0017-20:[QR95] W|  4.91563 | -20.43996 |G| 81624| 0.272268 |SUN |     |  0.000|1|0|0|1|1|0|0
53|SDSS J002008.01+171928.2|  5.03339 |  17.32451 |G| 81711| 0.272560 |SLS |     |  0.000|0|0|0|1|1|0|0
54|SDSS J002121.67+205553.4|  5.34032 |  20.93153 |G| 81668| 0.272414 |SLS |     |  0.000|0|0|0|1|1|0|0
55|WISEA J002159.44-302309.4|  5.49771 | -30.38633 |G| 81544| 0.272000 |SUN |19.50|  0.000|1|0|19|4|1|0|0
56|WHL J002209.0-080958|  5.53749 |  -8.16606 |GClstr| 81693| 0.272500 |PUN |     |  0.000|2|0|0|2|2|0|0
57|SDSS J002219.15+250233.0|  5.57980 |  25.04250 |G| 81688| 0.272481 |SLS |     |  0.000|0|0|0|1|1|0|0
58|WISEA J002252.25+011413.0|  5.71770 |   1.23696 |G| 81615| 0.272239 |SLS |19.1g|  0.000|2|0|37|6|1|4|0
59|WISEA J002306.83-042908.1|  5.77917 |  -4.48577 |G| 81681| 0.272457 |SLS |19.33|  0.000|0|0|19|4|1|0|0
60|WISEA J002314.40-005951.5|  5.80999 |  -0.99773 |G| 81702| 0.272528 |SLS |19.3g|  0.000|1|0|34|5|1|4|0
61|WHL J002321.5-093342|  5.83958 |  -9.56167 |GClstr| 81604| 0.272200 |PUN |     |  0.000|4|0|0|3|4|0|0
62|WISEA J002325.82-005900.2|  5.85739 |  -0.98325 |G| 81606| 0.272207 |SLS |20.2g|  0.000|3|0|47|6|5|8|0
63|SDSS J002338.53-004725.2|  5.91063 |  -0.79035 |G| 81678| 0.272447 |SLS |19.0g|  0.000|3|0|15|3|2|4|0
64|NSC J002344+071757|  5.93750 |   7.29694 |GClstr| 81679| 0.272451 |PUN |     |  0.000|4|0|0|3|3|0|0
65|WISEA J002346.54-043143.4|  5.94371 |  -4.52882 |G| 81839| 0.272984 |SLS |19.89|  0.000|0|0|19|4|1|0|0
66|WISEA J002444.47+020325.6|  6.18530 |   2.05708 |G| 81641| 0.272324 |SLS |     |  0.000|0|0|18|3|1|0|0
67|WISEA J002515.93+360420.4|  6.31640 |  36.07235 |G| 81639| 0.272317 |SLS |     |  0.000|0|0|18|3|1|0|0
68|WISEA J002617.94-202135.3|  6.57475 | -20.35983 |G| 81567| 0.272079 |PUN |19.24|  0.000|2|0|28|6|1|2|0
69|LBQS 0023+0058|  6.58697 |   1.25502 |G| 81717| 0.272580 |SLS |18.7g|  0.000|40|0|57|15|18|8|0
70|SDSS J002629.86+360910.5|  6.62445 |  36.15293 |G| 81748| 0.272681 |SLS |     |  0.000|0|0|0|1|1|0|0
71|WISEA J002639.77+261821.6|  6.66585 |  26.30606 |QSO| 81703| 0.272533 |SLS |     |  0.000|0|0|16|3|1|0|0
72|WISEA J002645.53+261829.8|  6.68973 |  26.30832 |G| 81720| 0.272590 |SLS |     |  0.000|0|0|18|3|1|0|0
73|WISEA J002701.17-342810.0|  6.75496 | -34.46964 |G| 81663| 0.272400 |SUN |19.28|  0.000|1|0|17|4|1|0|0
74|WISEA J002706.33+022119.0|  6.77614 |   2.35524 |G| 81564| 0.272067 |SLS |20.48|  0.000|1|0|19|5|1|0|0
75|WHL J002706.3+022119|  6.77636 |   2.35529 |GClstr| 81544| 0.272000 |SUN |     |  0.000|2|0|0|2|3|0|0
76|GALEXASC J002717.51-281638.4  |  6.82300 | -28.27761 |G| 81663| 0.272400 |UUN |20.15|  0.000|2|0|7|2|2|0|0
77|WHL J002737.8+343735|  6.90733 |  34.62649 |GClstr| 81813| 0.272900 |PUN |     |  0.000|2|0|0|2|2|0|0
78|WISEA J002806.82+022856.5|  7.02839 |   2.48238 |G| 81671| 0.272426 |SLS |     |  0.000|0|0|12|2|1|0|0
79|WISEA J002808.52-661416.2|  7.03565 | -66.23792 |G| 81544| 0.272000 |UUN |20.47|  0.000|3|0|19|5|1|0|0
80|WISEA J002833.49+075042.2|  7.13959 |   7.84507 |G| 81589| 0.272152 |SLS |     |  0.000|0|0|12|2|1|0|0
81|WISEA J002905.52+080433.1|  7.27299 |   8.07589 |G| 81657| 0.272379 |SLS |     |  0.000|0|0|18|3|1|0|0
82|WISEA J002925.51+010207.6|  7.35611 |   1.03542 |G| 81655| 0.272373 |SLS |20.2g|  0.000|1|0|33|5|2|4|0
83|WISEA J002925.90+005911.2|  7.35817 |   0.98647 |G| 81602| 0.272195 |SLS |19.4g|  0.000|1|0|41|7|1|4|0
84|WHL J002948.6-033226|  7.45268 |  -3.54048 |GClstr| 81723| 0.272600 |PUN |     |  0.000|2|0|0|2|2|0|0
85|WISEA J002952.12+074151.0|  7.46720 |   7.69752 |G| 81809| 0.272884 |SLS |     |  0.000|0|0|18|3|1|0|0
86|WISEA J003008.78+110936.1|  7.53661 |  11.16004 |G| 81793| 0.272832 |SLS |     |  0.000|0|0|12|2|1|0|0
87|WISEA J003009.82+032623.2|  7.54094 |   3.43978 |G| 81561| 0.272059 |SLS |     |  0.000|0|0|18|3|1|0|0
88|WISEA J003011.01+072811.1|  7.54590 |   7.46976 |G| 81661| 0.272393 |SLS |     |  0.000|0|0|17|3|1|0|0
89|WISEA J003038.56+071245.5|  7.66067 |   7.21258 |G| 81739| 0.272651 |SLS |     |  0.000|0|0|35|6|1|2|0
90|WISEA J003101.39+122027.2|  7.75581 |  12.34095 |G| 81723| 0.272597 |SLS |     |  0.000|0|0|15|3|1|0|0
91|WISEA J003112.12+123832.4|  7.80052 |  12.64234 |G| 81723| 0.272598 |SLS |     |  0.000|0|0|18|3|1|0|0
92|WISEA J003118.38+335515.8|  7.82658 |  33.92107 |G| 81591| 0.272157 |SLS |     |  0.000|0|0|18|3|1|0|0
93|WISEA J003122.75+143954.6|  7.84488 |  14.66526 |G| 81589| 0.272152 |SLS |19.5g|  0.000|10|0|65|7|6|10|0
94|WISEA J003128.39+143557.5|  7.86831 |  14.59926 |G| 81644| 0.272334 |SLS |20.5g|  0.000|1|0|27|3|1|4|0
95|WISEA J003150.30+064923.2|  7.95958 |   6.82313 |G| 81812| 0.272896 |SLS |     |  0.000|0|0|18|3|1|0|0
96|WISEA J003322.44+265622.6|  8.34352 |  26.93960 |G| 81616| 0.272243 |SLS |     |  0.000|0|0|18|3|1|0|0
97|WHL J003359.0-210536|  8.49587 | -21.09321 |GClstr| 81753| 0.272700 |PUN |     |  0.000|2|0|0|2|2|0|0
98|WISEA J003412.72+314616.9|  8.55289 |  31.77124 |G| 81796| 0.272841 |SLS |     |  0.000|0|0|12|2|1|0|0
99|WHL J003443.4-180304|  8.68098 | -18.05103 |GClstr| 81663| 0.272400 |PUN |     |  0.000|2|0|0|2|2|0|0
100|WISEA J003451.82+030542.8|  8.71597 |   3.09523 |G| 81694| 0.272501 |SLS |     |  0.000|0|0|18|3|1|0|0
101|SDSS J003525.11+072100.5|  8.85463 |   7.35015 |G| 81601| 0.272191 |SLS |     |  0.000|0|0|0|1|1|0|0
102|WISEA J003535.91-440553.5|  8.89964 | -44.09820 |IrS| 81636| 0.272310 |SLS |     |  0.000|1|0|12|2|1|0|0
103|GALEXASC J003537.54-440614.5  |  8.90587 | -44.10372 |G| 81544| 0.272000 |SLS |19.79|  0.000|4|0|10|5|1|0|0
104|WISEA J003621.77+185118.6|  9.09081 |  18.85518 |G| 81707| 0.272545 |SLS |     |  0.000|0|0|18|3|1|0|0
105|WISEA J003649.16-435557.0|  9.20468 | -43.93283 |G| 81622| 0.272260 |S1L |20.8R|  0.000|3|0|28|5|2|0|0
106|WISEA J003650.32+073500.6|  9.20974 |   7.58353 |G| 81794| 0.272836 |SLS |     |  0.000|0|0|18|3|1|0|0
107|WISEA J003758.96+070052.0|  9.49595 |   7.01454 |UvS| 81622| 0.272261 |SLS |     |  0.000|0|0|20|4|1|0|0
108|WISEA J003800.16+071007.0|  9.50073 |   7.16862 |G| 81763| 0.272732 |SLS |     |  0.000|0|0|18|3|1|0|0
109|GALEXASC J003814.14-441437.4  |  9.55904 | -44.24358 |G| 81544| 0.272000 |UUN |21.14|  0.000|4|0|27|5|3|0|0
110|WISEA J003820.00+092703.4|  9.58333 |   9.45093 |G| 81744| 0.272667 |SLS |     |  0.000|1|0|18|4|1|0|0
111|WISEA J003825.24+090845.5|  9.60507 |   9.14597 |G| 81604| 0.272201 |SLS |     |  0.000|0|0|12|2|1|0|0
112|WISEA J003930.69-302103.9|  9.87796 | -30.35122 |G| 81813| 0.272900 |UUN |20.49|  0.000|2|0|19|3|2|0|0
113|WISEA J003933.46-010517.0|  9.88945 |  -1.08805 |G| 81685| 0.272473 |SLS |20.0g|  0.000|0|0|33|5|2|4|0
114|WISEA J003939.73-004938.4|  9.91571 |  -0.82726 |G| 81755| 0.272705 |SLS |20.4g|  0.000|2|0|33|4|1|4|0
115|NSCS J004026+045445| 10.10833 |   4.91250 |GClstr| 81761| 0.272726 |PUN |     |  0.000|3|0|0|2|2|0|0
116|WISEA J004043.75+150412.4| 10.18235 |  15.07014 |G| 81825| 0.272939 |SLS |19.7g|  0.000|1|0|33|4|1|4|0
117|WISEA J004056.08-440557.1| 10.23387 | -44.09947 |G| 81574| 0.272100 |SLS |     |  0.000|2|0|22|4|2|0|0
118|WISEA J004111.46+072840.2| 10.29778 |   7.47790 |G| 81589| 0.272152 |SLS |     |  0.000|0|0|12|2|1|0|0
119|WISEA J004123.73+080655.5| 10.34890 |   8.11544 |G| 81577| 0.272112 |SLS |     |  0.000|0|0|18|3|1|0|0
120|WISEA J004155.34+073510.3| 10.48058 |   7.58625 |G| 81723| 0.272597 |SLS |     |  0.000|0|0|27|4|1|2|0
121|WISEA J004204.84+073634.5| 10.52014 |   7.60956 |G| 81787| 0.272812 |SLS |     |  0.000|0|0|18|3|1|0|0
122|WISEA J004219.04+073714.5| 10.57937 |   7.62069 |G| 81663| 0.272400 |SLS |     |  0.000|0|0|18|3|1|0|0
123|SDSS CE J010.717058+00.725393 | 10.71958 |   0.71833 |GClstr| 81798| 0.272850 |PUN |     |  0.000|12|0|1|9|12|0|0
124|WISEA J004252.91+573639.7| 10.72038 |  57.61106 |G| 81777| 0.272778 |PUN |     |  0.000|1|0|28|4|1|2|0
125|WISEA J004254.46+073651.7| 10.72696 |   7.61431 |G| 81842| 0.272996 |SLS |     |  0.000|0|0|18|3|1|0|0
126|WISEA J004428.90+072540.1| 11.12037 |   7.42778 |G| 81554| 0.272035 |SLS |     |  0.000|0|0|25|4|1|2|0
127|WISEA J004520.10+003323.0| 11.33373 |   0.55654 |G| 81660| 0.272390 |SLS |20.0g|  0.000|6|0|36|8|5|4|0
128|WISEA J004530.50+002217.3| 11.37710 |   0.37145 |G| 81774| 0.272768 |SLS |20.1g|  0.000|0|0|33|5|2|4|0
129|WISEA J004722.34-401756.2| 11.84328 | -40.29893 |G| 81681| 0.272458 |SUN |19.39|  0.000|1|0|23|4|1|0|0
130|WISEA J004731.81+340444.5| 11.88255 |  34.07903 |G| 81554| 0.272036 |SLS |     |  0.000|0|0|18|3|1|0|0
131|WISEA J004731.85+340401.3| 11.88276 |  34.06700 |G| 81645| 0.272338 |SLS |     |  0.000|0|0|18|3|1|0|0
132|WISEA J004732.62+145404.1| 11.88592 |  14.90117 |G| 81713| 0.272565 |SLS |     |  0.000|0|0|12|2|1|0|0
133|WISEA J004848.68-081306.3| 12.20276 |  -8.21849 |G| 81620| 0.272255 |SLS |19.93|  0.000|0|0|19|4|1|0|0
134|WISEA J004953.01+125245.5| 12.47080 |  12.87928 |G| 81843| 0.273000 |SLS |     |  0.000|1|0|13|2|1|0|0
135|WISEA J005000.07+124857.3| 12.50030 |  12.81587 |UvS| 81681| 0.272460 |SLS |     |  0.000|1|0|17|3|1|0|0
136|WISEA J005009.70+192637.1| 12.54036 |  19.44366 |IrS| 81701| 0.272524 |SLS |     |  0.000|0|0|22|4|1|0|0
137|SHELS J012.563416+12.780724| 12.56342 |  12.78072 |G| 81675| 0.272440 |SLS |     |  0.000|1|0|1|1|1|0|0
138|SHELS J012.648692+13.444501| 12.64869 |  13.44450 |G| 81795| 0.272840 |SLS |     |  0.000|1|0|0|1|1|0|0
139|SDSS J005051.79+195108.4| 12.71501 |  19.85172 |UvS| 81678| 0.272449 |SLS |     |  0.000|0|0|4|2|1|0|0
140|WISEA J005052.20+003057.4| 12.71744 |   0.51593 |G| 81813| 0.272900 |SLS |21.5g|  0.000|1|0|31|3|1|4|0
141|WISEA J005113.08-024445.0| 12.80447 |  -2.74589 |G| 81820| 0.272921 |SLS |     |  0.000|0|0|18|3|1|0|0
142|WISEA J005115.57+204855.8| 12.81494 |  20.81544 |G| 81587| 0.272144 |SLS |     |  0.000|0|0|12|2|1|0|0
143|WISEA J005148.31+311215.7| 12.95136 |  31.20436 |G| 81679| 0.272453 |SLS |     |  0.000|1|0|18|4|1|0|0
144|WISEA J005209.02+131022.1| 13.03769 |  13.17283 |G| 81843| 0.273000 |SLS |     |  0.000|1|0|13|2|1|0|0
145|SHELS J013.047595+13.197991| 13.04759 |  13.19799 |G| 81747| 0.272680 |SLS |     |  0.000|1|0|1|1|1|0|0
146|WISEA J005214.23+130943.5| 13.05909 |  13.16192 |G| 81747| 0.272680 |SLS |     |  0.000|1|0|13|2|1|0|0
147|WISEA J005214.38-000853.9| 13.06000 |  -0.14818 |G| 81697| 0.272512 |SLS |20.7g|  0.000|0|0|31|4|1|4|0
148|WISEA J005215.90+131404.5| 13.06647 |  13.23455 |G| 81675| 0.272440 |SLS |     |  0.000|1|0|13|2|1|0|0
149|SHELS J013.143089+13.372962| 13.14309 |  13.37296 |G| 81762| 0.272730 |SLS |     |  0.000|1|0|1|1|1|0|0
150|WISEA J005249.58+131352.3| 13.20648 |  13.23122 |G| 81786| 0.272810 |SLS |     |  0.000|1|0|13|2|1|0|0
151|WISEA J005251.45-091035.2| 13.21442 |  -9.17650 |G| 81779| 0.272785 |SLS |19.2g|  0.000|7|0|63|7|6|10|0
152|WISEA J005253.44+122555.7| 13.22262 |  12.43139 |UvS| 81801| 0.272860 |SLS |     |  0.000|1|0|17|3|1|0|0
153|SHELS J013.238042+13.204289| 13.23804 |  13.20429 |G| 81798| 0.272850 |SLS |     |  0.000|1|0|1|1|1|0|0
154|WISEA J005337.53+125601.7| 13.40645 |  12.93358 |G| 81726| 0.272610 |SLS |     |  0.000|1|0|13|2|1|0|0
155|WISEA J005346.44+122526.4| 13.44347 |  12.42442 |G| 81819| 0.272920 |SLS |     |  0.000|1|0|13|2|1|0|0
156|WISEA J005350.74+114753.4| 13.46152 |  11.79832 |G| 81633| 0.272300 |SLS |     |  0.000|1|0|13|2|1|0|0
157|WISEA J005354.28+332118.4| 13.47619 |  33.35513 |G| 81715| 0.272571 |SLS |     |  0.000|0|0|12|2|1|0|0
158|WISEA J005403.00-093315.2| 13.51250 |  -9.55427 |G| 81712| 0.272561 |SLS |19.5g|  0.000|7|0|62|6|5|10|0
159|WISEA J005408.26+130745.3| 13.53438 |  13.12902 |UvS| 81744| 0.272670 |SLS |     |  0.000|1|0|17|3|1|0|0
160|WISEA J005411.95+011326.1| 13.54980 |   1.22398 |G| 81800| 0.272856 |SLS |20.3g|  0.000|0|0|37|5|1|4|0
161|WISEA J005416.66+133009.5| 13.56932 |  13.50261 |G| 81562| 0.272060 |SLS |     |  0.000|1|0|13|2|1|0|0
