

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2024-05-03T21:07:04PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
44|[DMD2023] 010566|110.76479 | -73.47967 |G|3606504|12.030000 |PUN |     |  0.000|2|0|0|2|2|0|0
45|[HOO2023] F150DB-069|110.76775 | -73.44839 |G|3594512|11.990000 |PSE |     |  0.000|1|0|0|1|1|0|0
46|[HOO2023] F200DB-086|110.77675 | -73.45550 |G|5135445|17.129999 |PSE |     |  0.000|1|0|0|1|1|0|0
47|[DMD2023] 020757|110.80196 | -73.46715 |G|3201784|10.680000 |PUN |     |  0.000|1|0|0|1|1|0|0
48|[HOO2023] F150DB-031|110.83929 | -73.46008 |G|3474595|11.590000 |PSE |     |  0.000|1|0|0|1|1|0|0
49|[HOO2023] F150DB-026|110.84892 | -73.46128 |G|3111846|10.380000 |PSE |     |  0.000|1|0|0|1|1|0|0
50|[ASF2023] SMACS0723_z16a|110.85996 | -73.46792 |G|4772697|15.920000 |PUN |     |  0.000|2|0|0|2|2|0|0
51|[HOO2023] F150DB-033|110.87729 | -73.45919 |G|3411639|11.380000 |PSE |     |  0.000|1|0|0|1|1|0|0
52|COSMOS2020 0241443|149.50188 |   1.64634 |G|3567531|11.900000 |PUN |     |  0.000|1|0|0|1|1|0|0
53|COSMOS2020 0720309|149.79508 |   2.11166 |G|3357676|11.200000 |PUN |     |  0.000|1|0|0|1|1|0|0
54|[RMT2022] 1031+5052_0602|157.65260 |  50.87370 |G|3165809|10.560000 |PUN |     |  0.000|1|0|0|1|1|0|0
55|[RMT2022] 1142+2647_1280|175.49860 |  26.78070 |G|3645477|12.160000 |PUN |     |  0.000|1|0|0|1|1|0|0
